"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","01-Jan-2018","        314.25","        311.50","        320.00","        309.45","        314.80","        316.55","        316.44","    3350397","          1060197300.60","      27501","    1173169","         35.02"
"WIPRO","EQ","02-Jan-2018","        316.55","        315.85","        324.00","        314.45","        316.50","        318.70","        318.70","    2874518","           916098298.75","      29055","    1191180","         41.44"
"WIPRO","EQ","03-Jan-2018","        318.70","        320.40","        320.40","        308.75","        309.85","        309.95","        315.06","    2197677","           692399659.05","      42609","    1151818","         52.41"
"WIPRO","EQ","04-Jan-2018","        309.95","        310.10","        313.00","        307.45","        310.60","        311.65","        309.71","    1464584","           453599508.85","      16466","     631659","         43.13"
"WIPRO","EQ","05-Jan-2018","        311.65","        313.00","        313.90","        307.70","        310.05","        309.55","        311.03","    1613205","           501751015.00","      23732","     824511","         51.11"
"WIPRO","EQ","08-Jan-2018","        309.55","        310.00","        312.90","        309.10","        311.80","        311.15","        310.76","    1785248","           554775770.55","      26106","    1171987","         65.65"
"WIPRO","EQ","09-Jan-2018","        311.15","        312.60","        320.00","        306.40","        315.30","        317.20","        313.19","    4575572","          1433025248.05","      46168","    2711723","         59.27"
"WIPRO","EQ","10-Jan-2018","        317.20","        316.40","        327.85","        315.10","        326.40","        326.70","        322.70","    3811138","          1229865734.80","      36772","    1450737","         38.07"
"WIPRO","EQ","11-Jan-2018","        326.70","        323.55","        326.05","        319.00","        320.05","        321.10","        322.79","    2116462","           683181635.90","      24600","     972596","         45.95"
"WIPRO","EQ","12-Jan-2018","        321.10","        321.00","        323.75","        317.20","        320.00","        318.80","        319.36","    3162664","          1010015589.30","      31980","    1784422","         56.42"
"WIPRO","EQ","15-Jan-2018","        318.80","        318.85","        324.25","        313.40","        315.45","        315.00","        318.71","    1195210","           380923016.60","      11831","     466930","         39.07"
"WIPRO","EQ","16-Jan-2018","        315.00","        316.90","        334.00","        316.00","        333.60","        331.95","        327.94","    6166445","          2022247790.65","      65076","    1331744","         21.60"
"WIPRO","EQ","17-Jan-2018","        331.95","        333.00","        333.50","        325.00","        325.95","        325.70","        327.40","    3042506","           996129936.40","      45360","    1282407","         42.15"
"WIPRO","EQ","18-Jan-2018","        325.70","        327.00","        328.25","        322.15","        327.00","        325.35","        324.47","    1770781","           574570068.15","      26842","     765026","         43.20"
"WIPRO","EQ","19-Jan-2018","        325.35","        327.00","        330.00","        320.50","        328.80","        328.95","        326.17","    1608101","           524520547.55","      21508","     393888","         24.49"
"WIPRO","EQ","22-Jan-2018","        328.95","        317.00","        328.95","        317.00","        322.20","        321.55","        322.80","    4572569","          1476009659.60","      34241","    1946740","         42.57"
"WIPRO","EQ","23-Jan-2018","        321.55","        322.10","        322.95","        313.40","        316.40","        315.25","        316.45","    3230027","          1022142484.05","      36233","    1717089","         53.16"
"WIPRO","EQ","24-Jan-2018","        315.25","        316.50","        323.40","        312.20","        313.40","        313.95","        317.12","    6578273","          2086092062.45","      74857","    3399598","         51.68"
"WIPRO","EQ","25-Jan-2018","        313.95","        315.70","        318.00","        308.75","        314.00","        311.95","        312.65","    8298689","          2594606857.65","      64310","    5198052","         62.64"
"WIPRO","EQ","29-Jan-2018","        311.95","        314.10","        316.10","        309.60","        310.45","        311.15","        312.15","    3523977","          1100002569.90","      46303","    2380685","         67.56"
"WIPRO","EQ","30-Jan-2018","        311.15","        309.55","        312.30","        304.70","        307.10","        307.30","        306.85","    2279998","           699610426.70","      31685","    1239320","         54.36"
"WIPRO","EQ","31-Jan-2018","        307.30","        306.10","        308.95","        301.55","        305.05","        304.70","        304.07","    2823913","           858680117.20","      29418","    1881109","         66.61"
"WIPRO","EQ","01-Feb-2018","        304.70","        305.05","        309.10","        300.00","        301.50","        300.75","        303.77","    2202328","           668991867.30","      36853","    1082869","         49.17"
"WIPRO","EQ","02-Feb-2018","        300.75","        299.30","        302.45","        295.20","        300.05","        300.60","        299.45","    2517624","           753891190.70","      40062","    1350858","         53.66"
"WIPRO","EQ","05-Feb-2018","        300.60","        298.00","        305.55","        295.95","        298.45","        298.75","        300.64","    2194146","           659657502.45","      49410","     944910","         43.07"
"WIPRO","EQ","06-Feb-2018","        298.75","        291.70","        296.15","        290.10","        294.90","        294.65","        293.40","    2433492","           713984596.05","      36379","    1229447","         50.52"
"WIPRO","EQ","07-Feb-2018","        294.65","        298.20","        298.20","        288.00","        289.25","        289.35","        290.70","    2498537","           726337192.20","      47328","    1076685","         43.09"
